Time,Temperature (Â°C),Humidity (%),Wind Speed (m/s)
2025-02-13T00:00,-1.7,82,9.0
2025-02-13T01:00,-1.7,84,8.0
2025-02-13T02:00,-1.7,86,7.2
2025-02-13T03:00,-1.8,87,6.6
2025-02-13T04:00,-1.8,88,6.9
2025-02-13T05:00,-1.8,88,6.8
2025-02-13T06:00,-1.9,89,6.9
2025-02-13T07:00,-1.8,89,6.9
2025-02-13T08:00,-1.7,88,6.4
2025-02-13T09:00,-1.4,87,5.6
2025-02-13T10:00,-1.1,85,5.7
2025-02-13T11:00,-0.6,84,5.6
2025-02-13T12:00,-0.6,83,6.5
2025-02-13T13:00,-0.3,82,6.1
2025-02-13T14:00,-0.2,83,7.3
2025-02-13T15:00,-0.4,87,5.9
2025-02-13T16:00,-0.4,89,6.8
2025-02-13T17:00,-0.6,92,6.0
2025-02-13T18:00,-0.5,93,6.8
2025-02-13T19:00,-0.5,94,6.4
2025-02-13T20:00,-0.5,94,6.2
2025-02-13T21:00,-0.5,94,5.4
2025-02-13T22:00,-0.6,94,6.5
2025-02-13T23:00,-0.6,94,6.5
2025-02-14T00:00,-0.6,93,8.3
2025-02-14T01:00,-0.7,92,8.6
2025-02-14T02:00,-0.7,91,8.8
2025-02-14T03:00,-0.8,88,9.4
2025-02-14T04:00,-0.8,84,10.0
2025-02-14T05:00,-0.9,83,9.9
2025-02-14T06:00,-1.1,84,9.0
2025-02-14T07:00,-1.2,86,7.6
2025-02-14T08:00,-1.0,89,8.0
2025-02-14T09:00,-0.2,86,8.1
2025-02-14T10:00,0.5,82,8.6
2025-02-14T11:00,1.2,77,9.2
2025-02-14T12:00,1.8,73,10.0
2025-02-14T13:00,2.0,68,9.8
2025-02-14T14:00,2.2,67,10.1
2025-02-14T15:00,2.1,65,8.7
2025-02-14T16:00,1.7,66,8.6
2025-02-14T17:00,1.1,70,6.5
2025-02-14T18:00,0.4,67,7.2
2025-02-14T19:00,-0.3,80,6.3
2025-02-14T20:00,-0.4,83,4.7
2025-02-14T21:00,-0.3,82,3.6
2025-02-14T22:00,-0.4,83,3.5
2025-02-14T23:00,-0.4,82,3.7
2025-02-15T00:00,-0.5,82,3.3
2025-02-15T01:00,-0.5,82,3.6
2025-02-15T02:00,-0.8,85,4.2
2025-02-15T03:00,-0.9,85,2.2
2025-02-15T04:00,-1.0,87,3.3
2025-02-15T05:00,-1.1,86,3.7
2025-02-15T06:00,-1.2,85,3.1
2025-02-15T07:00,-1.3,87,4.2
2025-02-15T08:00,-1.3,84,4.3
2025-02-15T09:00,-0.8,79,4.5
2025-02-15T10:00,-0.2,68,4.7
2025-02-15T11:00,0.2,61,5.9
2025-02-15T12:00,0.6,59,9.4
2025-02-15T13:00,0.8,59,8.0
2025-02-15T14:00,0.8,62,5.6
2025-02-15T15:00,0.6,66,7.2
2025-02-15T16:00,-0.1,70,3.2
2025-02-15T17:00,-0.3,72,3.1
2025-02-15T18:00,-0.5,74,2.8
2025-02-15T19:00,-0.7,77,1.3
2025-02-15T20:00,-1.0,79,1.3
2025-02-15T21:00,-1.2,80,1.8
2025-02-15T22:00,-1.3,81,2.0
2025-02-15T23:00,-1.4,83,2.6
2025-02-16T00:00,-1.4,86,2.3
2025-02-16T01:00,-1.6,87,2.3
2025-02-16T02:00,-1.8,87,2.5
2025-02-16T03:00,-2.0,89,4.9
2025-02-16T04:00,-2.3,89,4.7
2025-02-16T05:00,-2.4,89,8.4
2025-02-16T06:00,-2.6,83,9.1
2025-02-16T07:00,-2.6,78,7.6
2025-02-16T08:00,-2.4,77,8.5
2025-02-16T09:00,-2.0,72,9.2
2025-02-16T10:00,-1.3,64,10.6
2025-02-16T11:00,-0.6,58,10.5
2025-02-16T12:00,-0.3,57,10.2
2025-02-16T13:00,-0.2,55,9.2
2025-02-16T14:00,-0.1,54,8.9
2025-02-16T15:00,-0.5,55,8.3
2025-02-16T16:00,-0.7,55,7.6
2025-02-16T17:00,-1.0,56,6.8
2025-02-16T18:00,-1.6,59,6.2
2025-02-16T19:00,-2.1,62,5.7
2025-02-16T20:00,-2.7,66,5.5
2025-02-16T21:00,-3.2,69,5.1
2025-02-16T22:00,-3.5,70,4.7
2025-02-16T23:00,-3.7,71,4.7
2025-02-17T00:00,-3.9,71,4.3
2025-02-17T01:00,-4.1,72,4.3
2025-02-17T02:00,-4.3,72,4.3
2025-02-17T03:00,-4.6,73,4.3
2025-02-17T04:00,-5.0,74,4.0
2025-02-17T05:00,-5.3,75,3.6
2025-02-17T06:00,-5.5,74,3.6
2025-02-17T07:00,-5.2,71,4.0
2025-02-17T08:00,-4.6,67,4.7
2025-02-17T09:00,-3.9,63,5.2
2025-02-17T10:00,-3.0,59,5.6
2025-02-17T11:00,-1.9,54,5.6
2025-02-17T12:00,-1.0,51,5.6
2025-02-17T13:00,-0.7,49,5.5
2025-02-17T14:00,-0.6,47,5.1
2025-02-17T15:00,-0.7,47,5.1
2025-02-17T16:00,-1.0,49,5.0
2025-02-17T17:00,-1.5,53,5.4
2025-02-17T18:00,-2.0,56,5.4
2025-02-17T19:00,-2.6,58,5.1
2025-02-17T20:00,-3.2,59,4.4
2025-02-17T21:00,-3.7,60,3.8
2025-02-17T22:00,-4.0,61,3.8
2025-02-17T23:00,-4.3,62,3.7
2025-02-18T00:00,-4.6,63,3.7
2025-02-18T01:00,-4.9,63,4.0
2025-02-18T02:00,-5.3,64,4.0
2025-02-18T03:00,-5.6,64,4.4
2025-02-18T04:00,-6.0,65,4.4
2025-02-18T05:00,-6.3,65,4.4
2025-02-18T06:00,-6.4,65,4.5
2025-02-18T07:00,-6.0,63,5.2
2025-02-18T08:00,-5.2,59,6.2
2025-02-18T09:00,-4.3,55,7.0
2025-02-18T10:00,-3.0,51,7.3
2025-02-18T11:00,-1.6,46,7.3
2025-02-18T12:00,-0.5,43,7.3
2025-02-18T13:00,-0.1,40,8.0
2025-02-18T14:00,0.0,39,8.1
2025-02-18T15:00,-0.1,39,8.0
2025-02-18T16:00,-0.5,42,7.6
2025-02-18T17:00,-1.1,48,7.2
2025-02-18T18:00,-1.7,52,6.8
2025-02-18T19:00,-2.2,54,6.8
2025-02-18T20:00,-2.8,54,6.5
2025-02-18T21:00,-3.2,55,6.6
2025-02-18T22:00,-3.6,56,6.6
2025-02-18T23:00,-3.9,57,6.2
2025-02-19T00:00,-4.2,58,6.1
2025-02-19T01:00,-4.6,59,5.8
2025-02-19T02:00,-4.9,59,5.8
2025-02-19T03:00,-5.2,59,5.4
2025-02-19T04:00,-5.5,59,5.1
2025-02-19T05:00,-5.7,58,4.7
2025-02-19T06:00,-5.7,57,4.7
2025-02-19T07:00,-5.2,54,5.0
2025-02-19T08:00,-4.4,51,5.8
2025-02-19T09:00,-3.4,47,6.1
2025-02-19T10:00,-2.0,43,6.5
2025-02-19T11:00,-0.5,39,6.8
2025-02-19T12:00,0.6,37,6.8
2025-02-19T13:00,1.0,37,6.9
2025-02-19T14:00,1.1,39,6.7
2025-02-19T15:00,1.0,42,7.0
2025-02-19T16:00,0.5,45,7.1
2025-02-19T17:00,-0.1,48,7.1
2025-02-19T18:00,-0.7,53,7.1
2025-02-19T19:00,-1.2,61,7.0
2025-02-19T20:00,-1.6,70,6.4
2025-02-19T21:00,-2.0,77,6.3
2025-02-19T22:00,-2.2,81,6.6
2025-02-19T23:00,-2.4,83,7.1
